alias,canonical
mie aceh rebus,mie aceh
"minyak hiu, hati",minyak hiu hati
"model, masakan",model masakan
mostarda metan -sawi,mostarda metan sawi
"mujahir acar kuning,  masakan",mujahir acar kuning masakan
"naan maran sapi,  masakan",naan maran sapi masakan
"nanas palembang,  segar",nanas palembang segar
"nanas, segar",nanas segar
"nangka masak pohon,  segar",nangka masak pohon segar
"nangka muda, segar",nangka muda segar
"nangka, biji, segar",nangka biji segar
"nasu likku, masakan",nasu likku masakan
olah-olah,olah olah
oncom ampas kacang  hijau,oncom ampas kacang hijau
oncom kacang hijau +  singkong,oncom kacang hijau singkong
oncom kacang tanah  pepes,oncom kacang tanah
onde-onde,onde onde
ongol-ongol sagu,ongol ongol sagu
"oramu ninahu ndawa  olaho, masakan",oramu ninahu ndawa olaho masakan
paku hinela  wulelenggapaya,paku hinela wulelenggapaya
"pala, biji, kering",pala biji
"pala, daging, segar",pala daging segar
"paniki masak santan,  masakan",paniki masak santan masakan
"parede baleh,  masakan",parede baleh masakan
"paria putih, kukus",paria putih
"paria putih, segar",paria putih segar
"pelolah manuk,  masakan",pelolah manuk masakan
"pempek adaan,  masakan",pempek adaan masakan
"pempek belida,  masakan",pempek belida masakan
"pempek kapal selam,  masakan",pempek kapal selam masakan
"pempek kelesan,  masakan",pempek kelesan masakan
"pempek kulit,  masakan",pempek kulit masakan
"pempek telur,  masakan",pempek telur masakan
"pempek tenggiri,  masakan",pempek tenggiri masakan
"pencok lele, masakan",pencok lele masakan
"penyu, serapah,  masakan",penyu serapah masakan
"pepare ular, segar",pepare ular segar
"pepaya muda, segar",pepaya muda segar
"pepaya, segar",pepaya segar
pepea oncom ampas  tahu,pepea oncom ampas tahu
"petai, segar",petai segar
"peterseli, segar",peterseli segar
petis udang kering,petis udang
"pindang kenari,  masakan",pindang kenari masakan
"pisang ambon, segar",pisang ambon segar
"pisang angleng (pisang  ampyang), segar",pisang angleng pisang ampyang segar
"pisang ayam, segar",pisang ayam segar
"pisang gapi, segar",pisang gapi segar
"pisang goroho, segar",pisang goroho segar
"pisang hijau, segar",pisang hijau segar
"pisang kayu, segar",pisang kayu segar
"pisang kepok, segar",pisang kepok segar
